trial_type,correct,raw_response,test_image,bait_image,response_image,filler1,filler2,filler3,filler4,filler5
studied,1,3,exemplarA/171.jpg,exemplarB/0171.jpg,exemplarA/171.jpg,OBJECTSALL/1693.jpg,OBJECTSALL/1836.jpg,OBJECTSALL/1255.jpg,OBJECTSALL/0815.jpg,OBJECTSALL/0821.jpg
studied,0,3,exemplarA/210.jpg,exemplarB/0210.jpg,OBJECTSALL/0385.jpg,OBJECTSALL/0358.jpg,OBJECTSALL/1112.jpg,OBJECTSALL/0385.jpg,OBJECTSALL/0157.jpg,OBJECTSALL/1362.jpg
studied,1,5,exemplarA/25.jpg,exemplarB/025.jpg,exemplarA/25.jpg,OBJECTSALL/1587.jpg,OBJECTSALL/0456.jpg,OBJECTSALL/0161.jpg,OBJECTSALL/1881.jpg,OBJECTSALL/1761.jpg
studied,1,5,exemplarB/0389.jpg,exemplarA/389.jpg,exemplarB/0389.jpg,OBJECTSALL/1088.jpg,OBJECTSALL/0732.jpg,OBJECTSALL/0794.jpg,OBJECTSALL/0780.jpg,OBJECTSALL/1069.jpg
studied,0,5,exemplarA/251.jpg,exemplarB/0251.jpg,OBJECTSALL/0826.jpg,OBJECTSALL/1440.jpg,OBJECTSALL/0378.jpg,OBJECTSALL/1290.jpg,OBJECTSALL/0017.jpg,OBJECTSALL/0826.jpg
studied,0,6,exemplarA/219.jpg,exemplarB/0219.jpg,OBJECTSALL/0615.jpg,OBJECTSALL/0690.jpg,OBJECTSALL/1141.jpg,OBJECTSALL/1779.jpg,OBJECTSALL/0797.jpg,OBJECTSALL/0245.jpg
studied,1,2,exemplarA/65.jpg,exemplarB/065.jpg,exemplarA/65.jpg,OBJECTSALL/1195.jpg,OBJECTSALL/1001.jpg,OBJECTSALL/1602.jpg,OBJECTSALL/1565.jpg,OBJECTSALL/1342.jpg
studied,0,1,exemplarA/360.jpg,exemplarB/0360.jpg,OBJECTSALL/1910.jpg,OBJECTSALL/1910.jpg,OBJECTSALL/0892.jpg,OBJECTSALL/0590.jpg,OBJECTSALL/1050.jpg,OBJECTSALL/0439.jpg
studied,1,2,exemplarB/024.jpg,exemplarA/24.jpg,exemplarB/024.jpg,OBJECTSALL/0452.jpg,OBJECTSALL/0328.jpg,OBJECTSALL/0083.jpg,OBJECTSALL/0534.jpg,OBJECTSALL/1489.jpg
studied,1,3,exemplarB/0295.jpg,exemplarA/295.jpg,exemplarB/0295.jpg,OBJECTSALL/0908.jpg,OBJECTSALL/1413.jpg,OBJECTSALL/1160.jpg,OBJECTSALL/1522.jpg,OBJECTSALL/0382.jpg
studied,1,3,exemplarB/0192.jpg,exemplarA/192.jpg,exemplarB/0192.jpg,OBJECTSALL/0876.jpg,OBJECTSALL/1225.jpg,OBJECTSALL/0508.jpg,OBJECTSALL/0823.jpg,OBJECTSALL/1758.jpg
studied,1,4,exemplarA/101.jpg,exemplarB/0101.jpg,exemplarA/101.jpg,OBJECTSALL/0013.jpg,OBJECTSALL/1538.jpg,OBJECTSALL/0813.jpg,OBJECTSALL/1430.jpg,OBJECTSALL/1820.jpg
studied,0,2,exemplarB/057.jpg,exemplarA/57.jpg,OBJECTSALL/0238.jpg,OBJECTSALL/1391.jpg,OBJECTSALL/0238.jpg,OBJECTSALL/1806.jpg,OBJECTSALL/1933.jpg,OBJECTSALL/1959.jpg
studied,0,3,exemplarB/0124.jpg,exemplarA/124.jpg,OBJECTSALL/1161.jpg,OBJECTSALL/1893.jpg,OBJECTSALL/1509.jpg,OBJECTSALL/1161.jpg,OBJECTSALL/1196.jpg,OBJECTSALL/0178.jpg
