trial_type,correct,raw_response,test_image,bait_image,timestamp,response_image,filler1,filler2,filler3,filler4,filler5
unstudied,1,1,exemplarB/0189.jpg,exemplarA/189.jpg,1568.9941310882568,exemplarB/0189.jpg,OBJECTSALL/1018.jpg,OBJECTSALL/1343.jpg,OBJECTSALL/1145.jpg,OBJECTSALL/0840.jpg,OBJECTSALL/0114.jpg
unstudied,0,1,exemplarA/87.jpg,exemplarB/087.jpg,1583.2467730045319,OBJECTSALL/1933.jpg,OBJECTSALL/1933.jpg,OBJECTSALL/0977.jpg,OBJECTSALL/1901.jpg,OBJECTSALL/0511.jpg,OBJECTSALL/0409.jpg
unstudied,0,6,exemplarB/061.jpg,exemplarA/61.jpg,1593.4557559490204,OBJECTSALL/0459.jpg,OBJECTSALL/1867.jpg,OBJECTSALL/1365.jpg,OBJECTSALL/1328.jpg,OBJECTSALL/0230.jpg,OBJECTSALL/1639.jpg
unstudied,1,1,exemplarB/046.jpg,exemplarA/46.jpg,1602.3435680866241,exemplarB/046.jpg,OBJECTSALL/1255.jpg,OBJECTSALL/0322.jpg,OBJECTSALL/1745.jpg,OBJECTSALL/1148.jpg,OBJECTSALL/0241.jpg
unstudied,1,3,exemplarA/338.jpg,exemplarB/0338.jpg,1612.7328751087189,exemplarA/338.jpg,OBJECTSALL/0418.jpg,OBJECTSALL/0808.jpg,OBJECTSALL/0647.jpg,OBJECTSALL/0580.jpg,OBJECTSALL/1085.jpg
unstudied,1,6,exemplarB/065.jpg,exemplarA/65.jpg,1623.9527759552002,exemplarB/065.jpg,OBJECTSALL/0625.jpg,OBJECTSALL/0470.jpg,OBJECTSALL/1438.jpg,OBJECTSALL/0007.jpg,OBJECTSALL/0068.jpg
unstudied,1,6,exemplarB/078.jpg,exemplarA/78.jpg,1636.0233969688416,exemplarB/078.jpg,OBJECTSALL/1801.jpg,OBJECTSALL/1071.jpg,OBJECTSALL/0028.jpg,OBJECTSALL/0755.jpg,OBJECTSALL/0294.jpg
unstudied,1,4,exemplarB/0261.jpg,exemplarA/261.jpg,1644.7107300758362,exemplarB/0261.jpg,OBJECTSALL/0620.jpg,OBJECTSALL/0070.jpg,OBJECTSALL/0003.jpg,OBJECTSALL/0578.jpg,OBJECTSALL/1359.jpg
unstudied,1,2,exemplarA/372.jpg,exemplarB/0372.jpg,1652.7978110313416,exemplarA/372.jpg,OBJECTSALL/0736.jpg,OBJECTSALL/0099.jpg,OBJECTSALL/1202.jpg,OBJECTSALL/1002.jpg,OBJECTSALL/1733.jpg
unstudied,0,1,exemplarB/0359.jpg,exemplarA/359.jpg,1663.2270121574402,OBJECTSALL/0608.jpg,OBJECTSALL/0608.jpg,OBJECTSALL/0162.jpg,OBJECTSALL/0264.jpg,OBJECTSALL/0316.jpg,OBJECTSALL/1470.jpg
unstudied,0,3,exemplarA/132.jpg,exemplarB/0132.jpg,1676.969083070755,OBJECTSALL/0074.jpg,OBJECTSALL/1251.jpg,OBJECTSALL/1676.jpg,OBJECTSALL/0074.jpg,OBJECTSALL/1001.jpg,OBJECTSALL/1122.jpg
unstudied,1,2,exemplarB/0242.jpg,exemplarA/242.jpg,1685.5566091537476,exemplarB/0242.jpg,OBJECTSALL/1580.jpg,OBJECTSALL/0853.jpg,OBJECTSALL/1477.jpg,OBJECTSALL/0344.jpg,OBJECTSALL/0172.jpg
unstudied,1,3,exemplarA/310.jpg,exemplarB/0310.jpg,1694.8851010799408,exemplarA/310.jpg,OBJECTSALL/0657.jpg,OBJECTSALL/0838.jpg,OBJECTSALL/1564.jpg,OBJECTSALL/0693.jpg,OBJECTSALL/0596.jpg
unstudied,0,2,exemplarB/0156.jpg,exemplarA/156.jpg,1704.693552017212,OBJECTSALL/1192.jpg,OBJECTSALL/0727.jpg,OBJECTSALL/1192.jpg,OBJECTSALL/0952.jpg,OBJECTSALL/1434.jpg,OBJECTSALL/1182.jpg
unstudied,1,3,exemplarA/51.jpg,exemplarB/051.jpg,1715.373006105423,exemplarA/51.jpg,OBJECTSALL/1237.jpg,OBJECTSALL/1685.jpg,OBJECTSALL/1543.jpg,OBJECTSALL/1746.jpg,OBJECTSALL/0705.jpg
unstudied,1,1,exemplarB/0341.jpg,exemplarA/341.jpeg,1725.081395149231,exemplarB/0341.jpg,OBJECTSALL/0887.jpg,OBJECTSALL/1106.jpg,OBJECTSALL/1585.jpg,OBJECTSALL/1285.jpg,OBJECTSALL/0460.jpg
unstudied,1,1,exemplarA/62.jpg,exemplarB/062.jpg,1735.7309930324554,exemplarA/62.jpg,OBJECTSALL/0567.jpg,OBJECTSALL/1697.jpg,OBJECTSALL/0965.jpg,OBJECTSALL/0519.jpg,OBJECTSALL/1034.jpg
unstudied,1,4,exemplarB/0284.jpg,exemplarA/284.jpg,1746.120155096054,exemplarB/0284.jpg,OBJECTSALL/0787.jpg,OBJECTSALL/1578.jpg,OBJECTSALL/0912.jpg,OBJECTSALL/0721.jpg,OBJECTSALL/0600.jpg
