trial_type,correct,raw_response,test_image,bait_image,timestamp,response_image,filler1,filler2,filler3,filler4,filler5
unstudied,1,3,exemplarA/353.jpg,exemplarB/0353.jpg,1436.6565070152283,exemplarA/353.jpg,OBJECTSALL/1654.jpg,OBJECTSALL/0982.jpg,OBJECTSALL/1576.jpg,OBJECTSALL/1232.jpg,OBJECTSALL/0064.jpg
unstudied,1,4,exemplarA/379.jpg,exemplarB/0379.jpg,1444.1132049560547,exemplarA/379.jpg,OBJECTSALL/0189.jpg,OBJECTSALL/0626.jpg,OBJECTSALL/0276.jpg,OBJECTSALL/0926.jpg,OBJECTSALL/1901.jpg
unstudied,1,4,exemplarB/0226.jpg,exemplarA/226.jpg,1450.9396657943726,exemplarB/0226.jpg,OBJECTSALL/0760.jpg,OBJECTSALL/1670.jpg,OBJECTSALL/0894.jpg,OBJECTSALL/1184.jpg,OBJECTSALL/0372.jpg
unstudied,0,4,exemplarA/90.jpg,exemplarB/090.jpg,1461.119589805603,OBJECTSALL/0325.jpg,OBJECTSALL/0715.jpg,OBJECTSALL/0056.jpg,OBJECTSALL/0076.jpg,OBJECTSALL/0325.jpg,OBJECTSALL/1753.jpg
unstudied,1,2,exemplarB/0227.jpg,exemplarA/227.jpg,1469.7775299549103,exemplarB/0227.jpg,OBJECTSALL/1623.jpg,OBJECTSALL/1823.jpg,OBJECTSALL/0793.jpg,OBJECTSALL/1381.jpg,OBJECTSALL/1092.jpg
unstudied,1,6,exemplarA/62.jpg,exemplarB/062.jpg,1480.988137960434,exemplarA/62.jpg,OBJECTSALL/1650.jpg,OBJECTSALL/0551.jpg,OBJECTSALL/0590.jpg,OBJECTSALL/0775.jpg,OBJECTSALL/0032.jpg
unstudied,0,3,exemplarB/0222.jpg,exemplarA/222.jpg,1495.672388792038,OBJECTSALL/0531.jpg,OBJECTSALL/1880.jpg,OBJECTSALL/0334.jpg,OBJECTSALL/0531.jpg,OBJECTSALL/0337.jpg,OBJECTSALL/0586.jpg
unstudied,0,6,exemplarA/73.jpg,exemplarB/073.jpg,1509.144593000412,OBJECTSALL/1889.jpg,OBJECTSALL/0746.jpg,OBJECTSALL/0290.jpg,OBJECTSALL/1144.jpg,OBJECTSALL/0766.jpg,OBJECTSALL/1714.jpg
unstudied,1,3,exemplarA/381.jpg,exemplarB/0381.jpg,1516.762013912201,exemplarA/381.jpg,OBJECTSALL/1450.jpg,OBJECTSALL/0423.jpg,OBJECTSALL/1362.jpg,OBJECTSALL/0932.jpg,OBJECTSALL/0235.jpg
unstudied,0,5,exemplarA/120.jpg,exemplarB/0120.jpg,1528.0226678848267,OBJECTSALL/1157.jpg,OBJECTSALL/0665.jpg,OBJECTSALL/1136.jpg,OBJECTSALL/1702.jpg,OBJECTSALL/1804.jpg,OBJECTSALL/1157.jpg
unstudied,1,4,exemplarA/197.jpg,exemplarB/0197.jpg,1547.0009179115295,exemplarA/197.jpg,OBJECTSALL/0874.jpg,OBJECTSALL/0136.jpg,OBJECTSALL/1257.jpg,OBJECTSALL/0109.jpg,OBJECTSALL/1494.jpg
unstudied,1,4,exemplarA/191.jpg,exemplarB/0191.jpg,1553.9171760082245,exemplarA/191.jpg,OBJECTSALL/1163.jpg,OBJECTSALL/1829.jpg,OBJECTSALL/1319.jpg,OBJECTSALL/0790.jpg,OBJECTSALL/1038.jpg
unstudied,1,3,exemplarA/187.jpg,exemplarB/0187.jpg,1561.2641208171844,exemplarA/187.jpg,OBJECTSALL/0117.jpg,OBJECTSALL/1126.jpg,OBJECTSALL/0759.jpg,OBJECTSALL/1388.jpg,OBJECTSALL/1527.jpg
unstudied,1,6,exemplarA/369.jpg,exemplarB/0369.jpg,1567.9504590034485,exemplarA/369.jpg,OBJECTSALL/0468.jpg,OBJECTSALL/1188.jpg,OBJECTSALL/0694.jpg,OBJECTSALL/0153.jpg,OBJECTSALL/1816.jpg
unstudied,1,5,exemplarB/0225.jpg,exemplarA/225.jpg,1575.0771927833557,exemplarB/0225.jpg,OBJECTSALL/0637.jpg,OBJECTSALL/1836.jpg,OBJECTSALL/1919.jpg,OBJECTSALL/0973.jpg,OBJECTSALL/0933.jpg
unstudied,1,2,exemplarA/41.jpg,exemplarB/041.jpg,1583.6855778694153,exemplarA/41.jpg,OBJECTSALL/0037.jpg,OBJECTSALL/0282.jpg,OBJECTSALL/0831.jpg,OBJECTSALL/0770.jpg,OBJECTSALL/1729.jpg
unstudied,1,1,exemplarB/010.jpg,exemplarA/10.jpg,1593.1945419311523,exemplarB/010.jpg,OBJECTSALL/1827.jpg,OBJECTSALL/1718.jpg,OBJECTSALL/0535.jpg,OBJECTSALL/0955.jpg,OBJECTSALL/1609.jpg
unstudied,1,6,exemplarB/054.jpg,exemplarA/54.jpg,1599.8306658267975,exemplarB/054.jpg,OBJECTSALL/1808.jpg,OBJECTSALL/1822.jpg,OBJECTSALL/0132.jpg,OBJECTSALL/0089.jpg,OBJECTSALL/1169.jpg
unstudied,1,5,exemplarB/0166.jpg,exemplarA/166.jpg,1607.4278509616852,exemplarB/0166.jpg,OBJECTSALL/0075.jpg,OBJECTSALL/0245.jpg,OBJECTSALL/0361.jpg,OBJECTSALL/0273.jpg,OBJECTSALL/1015.jpg
unstudied,1,5,exemplarB/0254.jpg,exemplarA/254.jpg,1616.8070299625397,exemplarB/0254.jpg,OBJECTSALL/0847.jpg,OBJECTSALL/0690.jpg,OBJECTSALL/1441.jpg,OBJECTSALL/1006.jpg,OBJECTSALL/0784.jpg
unstudied,1,3,exemplarA/94.jpg,exemplarB/094.jpg,1625.7452387809753,exemplarA/94.jpg,OBJECTSALL/1206.jpg,OBJECTSALL/0717.jpg,OBJECTSALL/1066.jpg,OBJECTSALL/1867.jpg,OBJECTSALL/0181.jpg
unstudied,1,5,exemplarA/234.jpg,exemplarB/0234.jpg,1632.741768836975,exemplarA/234.jpg,OBJECTSALL/1586.jpg,OBJECTSALL/0929.jpg,OBJECTSALL/1712.jpg,OBJECTSALL/1590.jpg,OBJECTSALL/1817.jpg
unstudied,1,2,exemplarB/0108.jpg,exemplarA/108.jpg,1639.7384548187256,exemplarB/0108.jpg,OBJECTSALL/0401.jpg,OBJECTSALL/1761.jpg,OBJECTSALL/0063.jpg,OBJECTSALL/0854.jpg,OBJECTSALL/1814.jpg
unstudied,1,2,exemplarA/345.jpg,exemplarB/0345.jpg,1650.7588698863983,exemplarA/345.jpg,OBJECTSALL/1809.jpg,OBJECTSALL/1245.jpg,OBJECTSALL/0330.jpg,OBJECTSALL/1452.jpg,OBJECTSALL/1765.jpg
unstudied,1,2,exemplarB/0266.jpg,exemplarA/266.jpg,1660.7683568000793,exemplarB/0266.jpg,OBJECTSALL/0070.jpg,OBJECTSALL/1953.jpg,OBJECTSALL/1093.jpg,OBJECTSALL/1284.jpg,OBJECTSALL/0341.jpg
unstudied,0,4,exemplarB/047.jpg,exemplarA/47.jpg,1672.6395978927612,OBJECTSALL/0972.jpg,OBJECTSALL/0485.jpg,OBJECTSALL/0542.jpg,OBJECTSALL/1320.jpg,OBJECTSALL/0972.jpg,OBJECTSALL/1291.jpg
unstudied,1,2,exemplarB/0397.jpg,exemplarA/397.jpg,1680.997321844101,exemplarB/0397.jpg,OBJECTSALL/0875.jpg,OBJECTSALL/0465.jpg,OBJECTSALL/0234.jpg,OBJECTSALL/0993.jpg,OBJECTSALL/0911.jpg
unstudied,1,2,exemplarB/0302.jpg,exemplarA/302.jpg,1688.3245677947998,exemplarB/0302.jpg,OBJECTSALL/0134.jpg,OBJECTSALL/1653.jpg,OBJECTSALL/0756.jpg,OBJECTSALL/1370.jpg,OBJECTSALL/1869.jpg
unstudied,1,5,exemplarB/051.jpg,exemplarA/51.jpg,1695.6513919830322,exemplarB/051.jpg,OBJECTSALL/1227.jpg,OBJECTSALL/1012.jpg,OBJECTSALL/1502.jpg,OBJECTSALL/1005.jpg,OBJECTSALL/1563.jpg
unstudied,0,2,exemplarA/77.jpg,exemplarB/077.jpg,1706.33131980896,OBJECTSALL/0992.jpg,OBJECTSALL/1616.jpg,OBJECTSALL/0992.jpg,OBJECTSALL/0936.jpg,OBJECTSALL/1883.jpg,OBJECTSALL/0949.jpg
unstudied,1,5,exemplarA/355.jpg,exemplarB/0355.jpg,1715.650328874588,exemplarA/355.jpg,OBJECTSALL/1079.jpg,OBJECTSALL/1353.jpg,OBJECTSALL/1035.jpg,OBJECTSALL/0013.jpg,OBJECTSALL/0745.jpg
unstudied,1,2,exemplarA/63.jpg,exemplarB/063.jpg,1722.5268228054047,exemplarA/63.jpg,OBJECTSALL/0219.jpg,OBJECTSALL/1805.jpg,OBJECTSALL/0954.jpg,OBJECTSALL/1755.jpg,OBJECTSALL/0734.jpg
unstudied,1,3,exemplarB/03.jpg,exemplarA/3.jpg,1731.1850039958954,exemplarB/03.jpg,OBJECTSALL/0846.jpg,OBJECTSALL/0584.jpg,OBJECTSALL/0483.jpg,OBJECTSALL/1261.jpg,OBJECTSALL/1389.jpg
unstudied,1,5,exemplarA/309.jpg,exemplarB/0309.jpg,1737.631097793579,exemplarA/309.jpg,OBJECTSALL/1699.jpg,OBJECTSALL/1708.jpg,OBJECTSALL/0767.jpg,OBJECTSALL/0708.jpg,OBJECTSALL/0395.jpg
